index,season,original_episode_num,rebroadcast,title,description,duration,published_date,url,explicit
100,2014,40,Y,The Money Paradox,"What does money tell us about human nature? How does it motivate, trick, satisfy and disappoint us? On this episode, TED speakers share insights into our relationship with money. Psychologist Laurie Santos studies human irrationality by observing how primates make decisions — including some not-so-savvy money choices their human relatives often make. Behavioral economist Keith Chen says languages that don’t have a future tense strongly correlate with higher savings. Social psychologist Paul Piff describes how almost anyone’s behavior can change when they’re made to feel rich. Career analyst and writer Daniel Pink explains why traditional rewards like money aren't always successful motivators. Social scientist Michael Norton researches how money can buy happiness — the key is social spending that benefits not just you, but other people.",60,5-Dec-14,http://www.npr.org/programs/ted-radio-hour/295260995/the-money-paradox?showDate=2014-12-05,
99,2014,23,Y,To The Edge,"Some people might only dream of adventure, but for others, there’s no other option but to explore the most extreme places on Earth. From the deepest caves to rough oceans, from the North Pole to dizzying heights on a high wire: what drives adventurers to constantly push to the brink of human endurance? In this hour, TED speakers share their experiences of going to the edge of our world. Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole. Engineer and daredevil caver Bill Stone pushes the frontier to the remotest depths of the Earth. Roz Savage quit her high-powered job to become an ocean rower. High-wire artist Philippe Petit tells the amazing story of how he walked between the Twin Towers.",60,26-Nov-14,http://www.npr.org/2013/07/11/201092483/to-the-edge?showDate=2014-11-26,
98,2014,55,N,Quiet,"In this episode, we explore ways to find quiet in our busy lives. How can we make a conscious effort to seek out stillness and calm in a fast-paced and increasingly noisy world? Environmentalist John Francis shares the lessons he learned after not speaking a word for 17 years. Writer Susan Cain talks about the value of introverts, people who draw their energy from quieter, more low-key social interactions. Singer Megan Washington explains how singing quiets the part of her brain that makes her stutter. Cloudspotter Gavin Pretor-Pinney advocates slowing down for a moment to notice the beauty of clouds. Author Pico Iyer suggests it is our reflective moments that give life its meaning.",60,21-Nov-14,http://www.npr.org/programs/ted-radio-hour/357846020/quiet?showDate=2014-11-21,
97,2014,54,N,Playing With Perceptions,"Where do stereotypes come from? Is there any truth or value to the assumptions we make about each other? Why do some perceptions persist, and can they be overcome? In this hour, TED speakers examine the roots and consequences of stereotypes. Playwright and performer Sarah Jones explores the fine line between stereotyping and celebrating ethnicity. Iranian-American comedian and actor Maz Jobrani talks about a comic’s role in challenging stereotypes. Artist Hetain Patel describes how first impressions can be deceptive and why we need to think more deeply about identity. Educator and poet Jamila Lyiscott unpacks the three distinct dialects of English she speaks — and what it really means to be called “articulate.” Psychologist Paul Bloom explains why prejudice is natural, rational and even moral — the key is to understand why we depend on it, and recognize when it leads us astray.",60,14-Nov-14,http://www.npr.org/programs/ted-radio-hour/358360814/playing-with-perceptions?showDate=2014-11-14,
96,2014,39,Y,Solving It,"There are problems affecting big parts of our lives that seem intractable. From politics, to health care, to law and the justice system — some things just don’t seem to work as they should. In this hour, TED speakers share some big ideas on how to solve the seemingly impossible. Attorney Philip K. Howard argues the U.S. has become a legal minefield and we need to simplify our laws. Legal scholar Lawrence Lessig says corruption is at the heart of American politics and issues a bipartisan call for change. Health advocate Rebecca Onie describes how our health care system can be restructured to not just treat — but prevent — illness. Lawyer Bryan Stevenson explains how America’s criminal justice system works against the poor and people of color, and how we can address it.",60,10-Nov-14,http://www.npr.org/programs/ted-radio-hour/288586249/solving-it?showDate=2014-11-10,
95,2014,38,Y,Extrasensory,"In this hour, TED speakers question whether we can experience the world more deeply by not only extending our senses — but going beyond them. Color blind artist Neil Harbisson can ""hear"" colors, even those beyond the range of sight. Physician and engineer Todd Kuiken builds prosthetic arms that connect with the human nervous system — improving motion, control and even feeling. Speech scientist Rupal Patel creates customized synthetic voices that enable people who can’t speak to communicate in a unique voice that embodies who they are. Sound expert Julian Treasure says we are losing our listening in a louder world. He shares ways to retune our ears for conscious listening — to other people and the world around us.",60,31-Oct-14,http://www.npr.org/programs/ted-radio-hour/283440560/extrasensory?showDate=2014-10-31,
94,2014,53,N,How It All Began,"In this hour, TED speakers explore our origins as a species — who we are, where we come from, where we’re headed — and how we’re connected to everything that came before us. Geneticist Spencer Wells describes how he uses DNA samples to trace our individual origins going back 2,000 generations. David Christian explains the history of the universe from the Big Bang, and how humans occupy little more than a millisecond on that cosmic timeline. Paleontologist Jack Horner explains what dinosaurs tell us about our own origins and what we can learn by attempting to revive a piece of the past. Louise Leakey describes her and her family’s long search for early human remains in Africa, and how unlocking that mystery is the key to understanding our survival as a species. Geneticist Spencer Wells returns to tell the story of early humans, and our eventual migration from Africa. Juan Enriquez argues that human evolution is far from over — homo sapiens are becoming a new species right before our eyes.",60,24-Oct-14,http://www.npr.org/programs/ted-radio-hour/357837221/how-it-all-began?showDate=2014-10-24,
93,2014,25,Y,The Next Greatest Generation?,"Whether you call them Millennials, Generation Y, or the Me Generation, one thing's for certain: this generation of young people will change the world. But how different is this hyper-connected generation from its predecessors? And what will be its legacy? In this hour, we hear from TED speakers searching to define themselves and their generation. Demographer Neil Howe coined the term “Millennial” in 1991, and offers perspective on the now loaded term. Activist Natalie Warne calls on young people to find their passion, chase after it, and not let age stop them from changing the world. Psychologist Meg Jay tells twentysomethings how to reclaim adulthood before it’s too late. Charlie Hoehn explains how he built a career on his own terms at the height of the economic recession. YouTube Trends Manager Kevin Allocca describes how this generation is using technology to completely change the way we consume media. Teenager and RookieMag.com editor-in-chief Tavi Gevinson talks about the need for an unapologetically uncertain, complex face for feminism and for teenage girls. (Rebroadcast)",60,17-Oct-14,http://www.npr.org/2013/08/13/211713540/the-next-greatest-generation?showDate=2014-10-17,
92,2014,26,Y,Predicting The Future ,"Visions of the future don’t just have to come from science fiction. There’s very real technology today giving us clues about how our future lives might be transformed. So what might our future look like? And what does it take for an idea about the future to become a reality? In this hour, TED speakers make some bold predictions and explain how our future lives might look. Technology leader Nicholas Negroponte looks back on predictions he made in 1984, with surprising accuracy. Tissue engineer Nina Tandon says in the future, we’ll be able to grow replacement organs. Entrepreneur Richard Resnick says faster genome sequencing will revolutionize how we treat disease. Global security consultant Marc Goodman explains how advancing technology will change how we fight crime. GPS expert Todd Humphreys forecasts the future of geo-locators and how it will change our notions of privacy. Also, Sebastian Thrun says we will see more driverless cars on the road in the next decade, and soon traffic jams and accidents will be a thing of the past. (Rebroadcast)",60,10-Oct-14,http://www.npr.org/2013/08/26/215826949/predicting-the-future?showDate=2014-10-10,
91,2014,52,N,The Source Of Creativity ,"Everyone wants to be creative. But channeling your creative impulses is no small feat. Is creativity something you are born with or can you learn it? In this hour, TED speakers examine the mystery of creativity. After a nasty bout of writer’s block that stretched on for nearly a decade, Sting found inspiration by channeling the stories of the shipyard workers he knew from his childhood. What happens in the brain during musical improv? Researcher Charles Limb scanned the brains of jazz musicians to find out. Sir Ken Robinson makes a case for creating an education system that nurtures — rather than stifles — creativity. Writer Elizabeth Gilbert muses on the impossible things we expect from artists and geniuses.",60,3-Oct-14,http://www.npr.org/programs/ted-radio-hour/351538855/the-source-of-creativity?showDate=2014-10-03,
90,2014,36,Y,The End Of Privacy,"Everyone expects a degree of privacy. But who holds the reins over our personal information? And does it matter if it’s collected by government, by a search engine, or if we willingly give it away? In this hour, TED speakers explore ideas about our changing notions of privacy, the consequences and benefits. When Hasan Elahi’s name was mistakenly added to the U.S. government’s watch list, he fought the assault on his privacy by turning his life inside-out for the world to see. Hacker and security expert Mikko Hyppönen says virtually every international internet user is being watched — and he makes the case for privacy in the age of government surveillance. Former U.S. Deputy Chief Technology Officer Beth Noveck shares her vision of practical openness – connecting bureaucracies to citizens, and creating a truly participatory democracy. Health IT expert John Wilbanks explores whether the desire to protect privacy is slowing research, and if opening up medical data could create a wave of health care innovation. Behavioral economist Alessandro Acquisti explains how everyday decisions contribute to blurring the line between our public and private lives.",60,26-Sep-14,http://www.npr.org/programs/ted-radio-hour/265352348/the-end-of-privacy?showDate=2014-09-26,
89,2014,51,N,Transformation,"Are we simply the sum of our experiences? Or can we choose our own path? In this hour, TED speakers share stories of undergoing remarkable transformations despite extraordinary challenges.  Zak Ebrahim tells the story of being raised to hate, as the son of terrorist El-Sayyid Nosair, and how he chose a different path. Fashion model Geena Rocero talks about being born a boy, and becoming who she was meant to be. MIT professor Hugh Herr describes how he lost both legs in a climbing accident 30 years ago, and how he’s now building the next generation of bionic limbs. Writer Shaka Senghor recounts his long journey from crime to prison to redemption.",60,19-Sep-14,http://www.npr.org/programs/ted-radio-hour/347104878/transformation?showDate=2014-09-19,
88,2014,50,N,From Curiosity To Discovery,"Why do some people spend years trying to answer a single question; or even risk their lives to discover something new? In this hour, TED speakers explore how curiosity leads to unexpected places. Director James Cameron's blockbuster films create unreal worlds. He reveals his childhood fascinations and how they fueled the passion behind his movies. Designer Thomas Thwaites explains what compelled him to build a toaster, literally from the ground up. Geneticist Wendy Chung describes what it’s like to chip away at the mysteries of autism, and the excitement of uncovering tiny but critical clues.  Biologist Nathan Wolfe says the unseeable world of microbes is fertile ground for new discoveries.  Mythbusters co-host Adam Savage talks about three people who inspired him to be curious: his dad, a former Earth Science teacher, and physicist Richard Feynman. ",60,12-Sep-14,http://www.npr.org/programs/ted-radio-hour/342134398/from-curiosity-to-discovery?showDate=2014-09-12,
87,2014,49,N,Animals And Us,"In this hour, TED speakers explore the complex relationships we have with animals. Writer Jon Mooallem tells the story of the teddy bear and considers how the tales we tell about wild animals have real consequences for a species' chance of survival — and the natural world at large. Animal trainer Ian Dunbar says we need to see the world through the eyes of our dogs if we want them to behave better. Poet Billy Collins imagines the inner life of a former canine companion. Science historian Laurel Braitman explores why some animals get anxious, depressed, and stressed out. Biologist Frans de Waal studies how primates display other human traits, such as empathy, cooperation, and fairness. ",60,5-Sep-14,http://www.npr.org/programs/ted-radio-hour/338900103/animals-and-us?showDate=2014-09-05,
86,2014,17,Y,Unstoppable Learning,"Learning is an integral part of human nature. But why do we — as adults — assume learning must be taught, tested, and reinforced? Why do we put so much effort in making kids think and act like us? In this hour, TED speakers explore the different ways babies and children learn on their own — from the womb, to the playground, to the web. Education researcher Sugata Mitra explains how he brought self-supervised access to the web for children in India’s slums and villages — with results that have made him rethink teaching. Science writer Annie Murphy Paul discusses how fetuses begin taking cues from the outside world while still in the womb. Developmental psychologist Alison Gopnik argues that like scientists, babies and young children follow a sophisticated systematic process of exploration when they play. Veteran teacher Rita Pierson says children need relationships and human connection in order to be inspired to learn. Sugata Mitra returns later in the episode to talk about his vision to build a school in a cloud where children drive a new kind of self-organized classroom.",60,29-Aug-14,http://www.npr.org/2013/04/25/179010396/unstoppable-learning?showDate=2014-08-29,
85,2014,13,Y,Making Mistakes,"We try so hard to be perfect, to never make mistakes and to avoid failure at all costs. But mistakes happen. And when they do, how do we deal with being wrong? In this episode, TED speakers look at those darker moments in our lives, and consider why sometimes we need to make mistakes and face them head on. Dr. Brian Goldman tells a profound story about the first big mistake he made in the ER, and questions medicine's culture of denial. Professor Brené Brown explains how important it is to confront shame. Also, jazz composer Stefon Harris argues that a lot of our actions are seen as mistakes only because we don't react to them appropriately. Plus, Margaret Heffernan, the former CEO of five businesses, tells the story of two unexpected collaborators, and how good disagreement is central to progress.",60,22-Aug-14,http://www.npr.org/2013/03/11/174030515/making-mistakes?showDate=2014-08-22,
84,2014,37,Y,Simply Happy,"We all want to find happiness, but it seems elusive. Can we learn more about happiness through science? Or are there simpler ways to achieve it? Host Guy Raz feels happy listening to Pharrell’s song “Happy”, so Guy asked Pharrell to share his ideas on happiness. Then we hear from five TED speakers who contemplate different paths to finding happiness. Researcher Matt Killingsworth says we're often happiest when we're lost in the moment. Journalist Carl Honore believes our society's emphasis on speed erodes our quality of life. Writer Graham Hill makes the case for taking up less space. Psychologist Dan Gilbert challenges the idea that we’ll be miserable if we don’t get what we want. Brother David Steindl-Rast reflects on slowing down, looking where you’re going, and being grateful.",60,15-Aug-14,http://www.npr.org/programs/ted-radio-hour/267185371/simply-happy?showDate=2014-08-15,
83,2014,14,Y,The Violence Within Us,"Violence and brutality are grim realities of life. So why are some people violent, and others aren’t? Are some of us born that way, or can anyone be pushed into committing acts of cruelty? What would it take for an ordinary person to become violent? In this hour, TED speakers explore the sinister side of human nature, and whether we’re all capable of violence. Psychologist Philip Zimbardo tells the story of his notorious Stanford Prison experiment and how easy it is for people to turn violent. Also, neuroscientist Jim Fallon uncovers the wiring of a psychopathic killer. Writer Leslie Morgan Steiner tells the harrowing story of her abusive relationship, and shares why victims of domestic violence often don’t leave. Also, psychology professor Steven Pinker charts the whole of human history, and says we are living in the most peaceful time in our existence.",60,8-Aug-14,http://www.npr.org/2013/03/28/175609678/the-violence-within-us?showDate=2014-08-08,
82,2014,48,N,Growing Up,"As adults, we experience childhood as a series of flashbacks. And those memories — however few and faulty — form the foundation of who we are. In this hour, TED speakers reflect on how our upbringing shapes us.  Tinkering School Founder Gever Tulley says that when kids are given sharp tools and matches, their imaginations take off and they become better problem-solvers.   Journalist Jennifer Senior argues that the goal of raising happy children is so elusive that it has put modern, middle-class parents into a panic. Poet and playwright Lemn Sissay was raised by the state; he talks about the empty space where his family should have been. Writer Andrew Solomon dives into his childhood to describe moments of great adversity, and how they helped him forge an identity. ",60,1-Aug-14,http://www.npr.org/programs/ted-radio-hour/335287595/growing-up?showDate=2014-08-01,
81,2014,35,Y,Disruptive Leadership,"Is leadership only reserved for the extraordinary few? Who has what it takes to disrupt the status quo? In this hour, TED speakers share ideas about what it takes to forge a new path. Four-star general Stanley McChrystal recounts some tough lessons about leadership he gained from the front lines. Facebook COO Sheryl Sandberg gets to the bottom line for women who want to lead. Bunker Roy created a school in India that equips rural women for leadership by training them to become solar engineers, artisans, dentists and doctors. Drew Dudley calls on us to celebrate leadership as the everyday act of improving each other’s lives. Seth Godin believes the Internet gives ordinary people the power to lead.",60,25-Jul-14,http://www.npr.org/programs/ted-radio-hour/261084166/disruptive-leadership?showDate=2014-07-25,
80,2014,47,N,Champions ,"From Little League to the Olympics, athletic mastery plays a major role in our sense of achievement. But how do elite athletes push the limits of speed, strength and endurance? In this hour, TED speakers explore the minds and bodies of champions who achieve extraordinary physical feats, over and over again. Long-distance swimmer Diana Nyad takes us on the journey of her historic swim from Cuba to Florida at age 64. Sports journalist David Epstein explores the technology, genetics, and willpower that allow champions to break new records each year. Paralympic snowboarder Amy Purdy talks about how losing her legs at age 19 enabled her to achieve more than she ever dreamed. Historian Sarah Lewis explains why the near-win motivates us to keep going.",60,18-Jul-14,http://www.npr.org/programs/ted-radio-hour/331331360/champions?showDate=2014-07-18,
79,2014,24,Y,The Hackers,"Science and technology now allow us to ""hack"" solutions to the biggest challenges of our time. But how far is too far? And what are the consequences of these hacks? We hear stories from TED speakers who dare to hack the brain, the climate, and even the animal kingdom in hopes of creating a better world. Computer security expert Mikko Hyppönen describes how he discovered the first PC virus, and what he learned about protecting the Internet today. Environmentalist Stewart Brand says we now have the technology to bring back some of the species that humanity has wiped out. Climate scientist David Keith proposes a cheap and surprising way to address climate change. Inventor Jay Silver encourages everyone to play with the world around them. Neurosurgeon Andres Lozano talks about dramatic findings in deep brain stimulation.",60,11-Jul-14,http://www.npr.org/2013/08/10/209178988/the-hackers?showDate=2014-07-11,
78,2014,12,Y,Peering Into Space ,"Gazing up at the night sky is simultaneously humbling and utterly thrilling. This hour, we’ll hear from TED speakers who share an infectious sense of wonder and curiosity about our place in the universe and what lies beyond our skies. Phil Plait breaks down how we can defend Earth from an asteroid. Also, Jill Tarter of the SETI Institute explains why it’s crucial for humans here on earth to continue searching for sentient beings in the cosmos. Plus: Physicist Brian Greene unravels the strange tale of dark matter and why our universe may be one of many in the “multiverse.”",60,3-Jul-14,http://www.npr.org/2013/02/15/172136499/peering-into-space?showDate=2014-07-03,
77,2014,46,N,What Is Original? ,"Even the most original ideas are essentially remixes.  When is copying flattery, when is it thievery, and when is it sheer genius? In this hour, TED speakers explore how sampling, borrowing, and riffing make all of us innovators. Sampling music isn't about ""hijacking nostalgia wholesale,"" says DJ Mark Ronson. It's about inserting yourself into the narrative of a song while pushing that story forward. Filmmaker Kirby Ferguson says nothing is original and that our most celebrated creators steal ideas — and transform them into something new. Clothing designs aren’t protected by copyright — and the industry benefits by being more innovative, says Johanna Blakley. People often credit their ideas to individual ""Eureka!"" moments. But writer Steven Johnson shows how history tells a different story.",60,27-Jun-14,http://www.npr.org/programs/ted-radio-hour/321797073/what-is-original?showDate=2014-06-27,
76,2014,45,N,Why We Lie,"Let’s face it: people lie.  We lie to each other and to ourselves. Is there a deeper reason why we do it?  In this episode, TED speakers deconstruct the hard truths of deception. Behavioral economist Dan Ariely explains the hidden reasons we think it's okay to cheat or steal. Pamela Meyer points out manners and cues that can help us suss out a lie. Technology might actually force us to be more honest, says psychologist Jeff Hancock. Michael Shermer says the human tendency to believe strange things boils down to two of the brain's most basic, hard-wired survival skills. Magician Eric Mead extends the placebo effect to magic, pulling off a gruesome trick that’s so convincing, you’ll cringe. ",60,20-Jun-14,http://www.npr.org/programs/ted-radio-hour/311863205/why-we-lie?showDate=2014-06-20,
75,2014,34,Y,Overcoming ,"We all have our struggles, whether they be mental, physical, or social. But what is it that makes some of us keep trying and striving to overcome despite the odds? In this hour, TED speakers tell their stories about overcoming a weakness and turning it into a strength. Temple Grandin talks about how she struggled with autism for years until she realized that her ability to “think in pictures” allows her to solve problems that many others might miss. Shane Koyczan describes being tormented endlessly by bullies, but when he turned to spoken word poetry as an adult, he found a community of fans eager to embrace him for his anti-bullying message. Eleanor Longden recounts how her life was spiraling out of control when she was diagnosed with schizophrenia, hospitalized, and drugged — until she learned to listen to and live with her voices. Kakenya Ntaiya tells the fearless story of challenging ingrained traditions, insisting to continue her education, and becoming the first girl to leave her Maasai village for college.",60,13-Jun-14,http://www.npr.org/programs/ted-radio-hour/255743572/overcoming?showDate=2014-06-13,
74,2014,44,N,Getting There,"Our daily lives depend on travel: walking, biking, driving, flying. In the future, we’ll make tough compromises and bold leaps of faith to travel smarter, cleaner, and faster. In this hour, TED speakers reimagine the future of getting there.  Explorer Bertrand Piccard explains why he’s aiming to carry out an unprecedented mission: to circle the planet in a solar-powered airplane. Ford Executive Chairman Bill Ford describes how we can create a green future of smart roads and smart cars. Zipcar co-founder Robin Chase makes the case for car-sharing as the solution to global gridlock. Former New York City Transportation Commissioner Janette Sadik-Khan says cities can tackle the challenges of tomorrow by completely re-imagining our streets today. Entrepreneur Richard Branson shares his vision for private, commercial space travel.",60,6-Jun-14,http://www.npr.org/programs/ted-radio-hour/318463922/getting-there?showDate=2014-06-06,
73,2014,29,Y,Haves And Have-Nots,"Income inequality is at an all-time high between the haves and the have nots. But does the poverty gap have to be so wide, and can it potentially be eliminated altogether? In this hour, TED speakers share some big ideas about inequality, and new ways we might achieve prosperity for all. Ernesto Sirolli recounts how well-intentioned aid programs can go awry; he says the first step to addressing poverty might be to “shut up and listen.” Author and politician Chrystia Freeland charts the rise of today’s billionaire plutocrats, and wonders what concentrated super-wealth means for the rest of us. Historian Niall Ferguson explains why, when it comes to amassing wealth, it’s been the West versus the rest for the past 500 years. Ghanaian economist George Ayittey says that when it comes to Africa, it’s up to a new generation to bring about accountability. Jacqueline Novogratz, CEO of Acumen Fund, discusses groundbreaking work that connects the poor to the global economy.",60,30-May-14,http://www.npr.org/2013/10/16/235781665/haves-and-have-nots?showDate=2014-05-30,
72,2014,43,N,What We Fear,"Human beings have a fine-tuned sense of fear. But how do we distinguish between fear and danger? How do we decide which fears are rational and irrational? In this hour, TED speakers explore what it means to be afraid, and how we calm ourselves down — or don’t — when we’re terrified. Astronaut and retired colonel Chris Hadfield discusses how to prepare your mind for the unexpected, and the worst. Through the story of the whaleship Essex, novelist Karen Thompson Walker describes how our most vivid fears are often not the most realistic. Folk singer Joe Kowan talks about the visceral, body-hijacking experience he feels when he’s performing in front of an audience, and how a song helped him cope with stage fright. Illusionist and endurance artist David Blaine reveals how he has made a career out of fearlessly performing death-defying feats. Philosopher Stephen Cave delves into the simple question: Why are human beings afraid to die?",60,23-May-14,http://www.npr.org/programs/ted-radio-hour/312542881/what-we-fear?showDate=2014-05-23,
71,2014,22,Y,Why We Collaborate ,"""The world has over a trillion hours a year of free time to commit to shared projects,"" says professor Clay Shirky. But what motivates dozens, thousands, even millions of people to come together on the Internet and commit their time to a project, for free? What is the key to making a successful collaboration work? In this hour, TED speakers unravel ideas behind the mystery of mass collaborations that build a better world. Wikipedia founder Jimmy Wales explains what drives people everywhere to contribute to the self-organizing online encyclopedia. Computer programmer Luis von Ahn builds systems that combine humans and computers to help digitize books and translate the web. Social media guru Clay Shirky says when we contribute to the web, we’re building a better world. Software entrepreneur Jason Fried thinks collaboration is key to productivity, as long as we do away with meetings. And coder Jennifer Pahlka believes the government should be more like the Internet: permissionless and open.",60,16-May-14,http://www.npr.org/2013/07/13/197986218/why-we-collaborate?showDate=2014-05-16,
