Index,season,original_episode,rebroadcast,title,description,duration,published_date,url,explicit
240,2014,240,N,Dana Carvey, Dana Carvey (comedy legend!) makes it weird! ,2:48:33,12/17/14,http://youmadeitweird.libsyn.com/dana-carvey,Y
239,2014,239,N,Peter Rollins, The FORBS (friends of Rob Bell) series continues as Peter Rollins (Author! Philosopher!) makes it wonderfully weird! ,2:15:00,12/10/14,http://youmadeitweird.libsyn.com/peter-rollins,Y
238,2014,238,N,Patton Oswalt, Patton Oswalt (comedy! author! actor) makes it weird! ,1:51:01,12/3/14,http://youmadeitweird.libsyn.com/patton-oswalt,Y
237,2014,237,N,Harris Wittels Returns, Harris Wittels (Parks and Rec! Comedy! Don't Stop or We'll Die!) returns to make it weirder! ,1:40:53,11/19/14,http://youmadeitweird.libsyn.com/harris-wittels-returns,Y
236,2014,236,N,Kyle Cease, Kyle Cease (comedian! motivational speaker!) makes it weird! ,2:12:40,11/12/14,http://youmadeitweird.libsyn.com/kyle-cease,Y
235,2014,235,N,Larry Charles," Larry Charles (Writer, director, producer. Seinfeld, Curb Your Enthusiasm, Borat, and more!) makes it weird! ",2:05:22,11/5/14,http://youmadeitweird.libsyn.com/larry-charles,Y
234,2014,234,N,David Vanderveen," F.O.R.B.S (Friends of Rob Bell Series), surfer, writer, founder of XS Energy drink, amazing dude David Vanderveen makes it weird! ",2:02:46,10/29/14,http://youmadeitweird.libsyn.com/david-vanderveen,Y
233,2014,233,N,Orny Adams, Orny Adams (Jerry Seinfeld's Comedian movie!) makes it weird! ,1:38:20,10/22/14,http://youmadeitweird.libsyn.com/orny-adams,Y
232,2014,232,N,W. Kamau Bell, W. Kamau Bell (Totally Biased!) makes it weird! ,2:05:36,10/15/14,http://youmadeitweird.libsyn.com/w-kamau-bell,Y
231,2014,231,N,Live from Bumbershoot 2014," Live from Bumbershoot in Seattle with Rory Scovel, Paul F. Tompkins, Matt Braunger and Janeane Garofalo! ",1:14:34,10/8/14,http://youmadeitweird.libsyn.com/live-from-bumbershoot-2014,Y
230,2014,230,N,Kate Berlant, Kate Berlant makes it weird! ,1:40:52,10/1/14,http://youmadeitweird.libsyn.com/kate-berlant,Y
229,2014,229,N,Live From High Plains Comedy Festival," Live from the High Plains Comedy Festival in Denver, CO with Chris Thayer, Mike O'Connell, Kate Berlant, Billy Wayne Davis, Matt Knudsen and Nick Thune! ",1:28:39,9/24/14,http://youmadeitweird.libsyn.com/live-from-high-plains-comedy-festival,Y
228,2014,228,N,Cameron Esposito," Cameron Esposito (Conan, Late Late Show with Craig Ferguson, Put Your Hands Together!) makes it weird! ",2:07:39,9/17/14,http://youmadeitweird.libsyn.com/cameron-esposito,Y
227,2014,227,N,Inside Pete's Brain with Dr. Tim Royer of Neurocore, Dr. Tim Royer of Neurocore goes inside Pete's brain! ,1:25:20,9/12/14,http://youmadeitweird.libsyn.com/inside-petes-brain-with-dr-tim-royer-of-neurocore,Y
226,2014,226,N,Rob Corddry, Rob Corddry (Children's Hospital! Hot Tub Time Machine! The Daily Show!) makes it weird! ,1:48:34,9/10/14,http://youmadeitweird.libsyn.com/rob-corddry,Y
225,2014,225,N,David Bazan, David Bazan (musician! Pedro The Lion!) makes it weird! ,2:02:18,9/3/14,http://youmadeitweird.libsyn.com/david-bazan,Y
224,2014,224,N,T.J. Miller #3, T.J. Miller returns for a third time to make it even weirder! ,1:20:10,8/29/14,http://youmadeitweird.libsyn.com/tj-miller-3,Y
223,2014,223,N,Jay Chandrasekhar, Jay Chandrasekhar (Super Troopers! Beerfest!) makes it weird! ,1:31:52,8/27/14,http://youmadeitweird.libsyn.com/jay-chandrasekhar,Y
222,2014,222,N,Jermaine Fowler, Jermaine Fowler (Comedy Central! MTV's Guy Code! Friends of the People!) makes it weird! ,1:52:47,8/20/14,http://youmadeitweird.libsyn.com/jermaine-fowler,Y
221,2014,221,N,Alice Wetterlund, Alice Wetterlund (comedy!) makes it weird! ,1:28:25,8/13/14,http://youmadeitweird.libsyn.com/alice-wetterlund,Y
220,2014,220,N,Bryan Callen, Bryan Callen (comedy! Ten Minute Podcast! Mad TV!) makes it weird! ,1:24:59,8/6/14,http://youmadeitweird.libsyn.com/bryan-callen,Y
219,2014,219,N,Live at JFL Montreal 2014," Live at Just For Laughs Montreal with Cameron Esposito, Whitmer Thomas, Emily Gordon, Kumail Nanjiani, Drew Michael and Brooks Wheelan! ",1:23:21,7/30/14,http://youmadeitweird.libsyn.com/live-at-jfl-montreal-2014,Y
218,2014,218,N,Deepak Chopra, Deepak Chopra (author! physician! new age guru!) makes it weird! ,1:22:01,7/23/14,http://youmadeitweird.libsyn.com/deepak-chopra,Y
217,2014,217,N,Gentry Lee," Gentry Lee (Chief Engineer for the Planetary Flight Systems Directorate at the Jet Propulsion Laboratory, author and super smart guy!!) makes it weird! Do NOT skip this one because he's not a show-biz household name, he is a real delight! TRUST. ",1:08:34,7/16/14,http://youmadeitweird.libsyn.com/gentry-lee,Y
216,2014,216,N,Sinbad, Sinbad makes it weird! ,1:53:02,7/9/14,http://youmadeitweird.libsyn.com/sinbad,Y
215,2014,215,N,Dave Hill, Dave Hill makes it weird! ,2:23:53,7/2/14,http://youmadeitweird.libsyn.com/dave-hill,Y
214,2014,214,N,George Basil," George Basil (The Pete Holmes Show, College Humor, Ex-Men) makes it weird! ",2:08:29,6/25/14,http://youmadeitweird.libsyn.com/george-basil,Y
213,2014,213,N,Ray Romano, Ray Romano (Everybody Loves Raymond! Men of a Certain Age!) makes it weird! ,1:44:38,6/18/14,http://youmadeitweird.libsyn.com/ray-romano,Y
212,2014,212,N,Dave Stone, Dave Stone (Comedy! The Late Late Show with Craig Ferguson!) makes it weird! ,1:50:33,6/11/14,http://youmadeitweird.libsyn.com/dave-stone,Y
211,2014,211,N,Josh Ruben, Josh Ruben (College Humor! Comedy!) makes it weird! ,1:38:13,6/4/14,http://youmadeitweird.libsyn.com/josh-ruben,Y
210,2014,210,N,Bill Nye, Bill Nye (the Science Guy!) makes it weird! ,1:40:12,5/28/14,http://youmadeitweird.libsyn.com/bill-nye,Y
209,2014,209,N,Deanna Russo, Deanna Russo (Badman! The Pete Holmes Show!Being Human! Burning Love!) makes it weird! ,2:05:25,5/21/14,http://youmadeitweird.libsyn.com/deanna-russo,Y
208,2014,208,N,Scott Hutchison, Scott Hutchison (singer of the band Frightened Rabbit!) makes it weird! ,1:55:01,5/14/14,http://youmadeitweird.libsyn.com/scott-hutchison,Y
207,2014,207,N,Brian Greene: Theoretical Physicist, Brian Greene (theoretical physicist and string theorist! The Elegant Universe! The Fabric of the Cosmos! TED Talks!) makes it weird!Â  ,1:35:49,5/7/14,http://youmadeitweird.libsyn.com/brian-greene-theoretical-physicist,Y
206,2014,206,N,Wayne Federman, Wayne Federman (Curb Your Enthusiasm! Late Night with Jimmy Fallon!) makes it weird! ,2:07:11,4/30/14,http://youmadeitweird.libsyn.com/wayne-federman,Y
205,2014,205,N,Mark-Paul Gosselaar, Mark-Paul Gosselaar (Franklin and Bash! Saved By The Bell!) makes it weird! ,2:01:30,4/23/14,http://youmadeitweird.libsyn.com/mark-paul-gosselaar,Y
204,2014,204,N,Justin Bua, Justin Bua (award-winning artist!) makes it weird! ,1:50:28,4/16/14,http://youmadeitweird.libsyn.com/justin-bua,Y
203,2014,203,N,Brian Stack, Brian Stack (Conan writer for 16 years! UCB!) makes it weird! ,1:50:23,4/9/14,http://youmadeitweird.libsyn.com/brian-stack,Y
202,2014,202,N,"""Science Mike"" McHargue"," ""Science Mike"" McHargue (incredibly interesting, insightful blogger, deacon and friend of Rob Bell's) makes it weird! ",2:07:02,4/2/14,http://youmadeitweird.libsyn.com/science-mike-mchargue,Y
201,2014,201,N,Live from SXSW 2014," Thomas Middleditch, Jim Breuer, Matt Braunger, Nicole Byer and Andy Haynes make it weird in Austin for SXSW 2014! ",1:22:34,3/26/14,http://youmadeitweird.libsyn.com/live-from-sxsw-2014,Y
200,2014,200,N,Justin Willman, Justin Willman (Magician! Cupacake Wars!) makes it weird! ,2:05:59,3/19/14,http://youmadeitweird.libsyn.com/justin-willman,Y
199,2014,199,N,Ben Schwartz, Ben Schwartz (House of Lies! Parks and Rec! UCB!) makes it weird! ,2:07:10,3/12/14,http://youmadeitweird.libsyn.com/ben-schwartz,Y
198,2014,198,N,Moshe Kasher Returns, Moshe Kasher returns to make it weirder! ,2:02:13,3/5/14,http://youmadeitweird.libsyn.com/moshe-kasher-returns,Y
197,2014,197,N,Jennette McCurdy," Jennette McCurdy (iCarly, Sam &amp; Cat) makes it weird! ",2:15:13,2/26/14,http://youmadeitweird.libsyn.com/jennette-mccurdy,Y
196,2014,196,N,Ari Voukydis, Ari Voukydis (UCB!) makes it weird! ,2:09:51,2/19/14,http://youmadeitweird.libsyn.com/ari-voukydis,Y
195,2014,195,N,Jared Logan, Jared Logan makes it weird! ,1:39:32,2/12/14,http://youmadeitweird.libsyn.com/jared-logan,Y
194,2014,194,N,Mark Normand, Mark Normand makes it weird! ,1:56:36,2/5/14,http://youmadeitweird.libsyn.com/mark-normand,Y
193,2014,193,N,Randy Liedtke," Red headed giant, gay bar chef and real life prankster Randy Liedtke makes it weird! ",1:57:53,1/29/14,http://youmadeitweird.libsyn.com/randy-liedtke,Y
192,2014,192,N,Emily Maya Mills, Emily Maya Mills makes it weird! ,2:02:12,1/22/14,http://youmadeitweird.libsyn.com/emily-maya-mills,Y
191,2014,191,N,Nate Bargatze, Nate Bargatze (Comedy Central! Conan! Jimmy Fallon!) makes it weird! ,2:14:17,1/15/14,http://youmadeitweird.libsyn.com/nate-bargatze,Y
190,2014,190,N,Matt Berninger, The lead singer of Pete's favorite band The National makes it weird! ,2:29:43,1/8/14,http://youmadeitweird.libsyn.com/matt-berninger,Y
189,2013,189,N,Jonah Ray, Jonah Ray (Meltdown! The Nerdist! Jonah Raydio!) makes it weird! ,1:58:54,12/18/13,http://youmadeitweird.libsyn.com/jonah-ray,Y
188,2013,188,N,Mike Birbiglia returns!, Mike Birbiglia (new album My Girlfriend's Boyfriend!) makes it weird and wonderful AGAIN! ,1:24:03,12/11/13,http://youmadeitweird.libsyn.com/mike-birbiglia-returns,Y
187,2013,187,N,Jon Gabrus," Just an incredible conversation with the hilarious Jon Gabrus, one of the funniest actors and improvisers around! Jon makes it VERY weird!! ",2:16:56,12/4/13,http://youmadeitweird.libsyn.com/jon-gabrus,Y
186,2013,186,N,David Wolfe, David Wolfe (Food Matters! Author! Raw foodie hippie man!) makes it wonderful and VERY weird! ,2:40:33,11/20/13,http://youmadeitweird.libsyn.com/david-wolfe,Y
185,2013,185,N,Casey Wilson, Casey Wilson (Happy Endings! Ass Backwards!) makes it weird! ,1:46:25,11/13/13,http://youmadeitweird.libsyn.com/casey-wilson,Y
184,2013,184,N,Ryan Sickler, Ryan Sickler (comedy! The CrabFeast podcast!) makes it weird! ,1:52:12,11/6/13,http://youmadeitweird.libsyn.com/ryan-sickler,Y
183,2013,183,N,Jordan Peele, Jordan Peele (Key and Peele!) makes it weird! ,2:34:38,10/30/13,http://youmadeitweird.libsyn.com/jordan-peele,Y
182,2013,182,N,June Diane Raphael," June Diane Raphael (NTSF:SD:SUV, Burning Love, Ass Backwards) makes it weird! ",2:24:45,10/23/13,http://youmadeitweird.libsyn.com/june-diane-raphael,Y
181,2013,181,N,Keith and The Girl, Keith Malley and Chemda Khalili from the podcast Keith and The Girl make it weird! ,1:39:30,10/16/13,http://youmadeitweird.libsyn.com/keith-and-the-girl,Y
180,2013,180,N,Horatio Sanz, Horatio Sanz (SNL!) makes it weird! ,1:59:18,10/9/13,http://youmadeitweird.libsyn.com/horatio-sanz,Y
179,2013,179,N,Dan St. Germain, Dan St. Germain makes it weird! ,2:15:06,10/2/13,http://youmadeitweird.libsyn.com/dan-st-germain,Y
178,2013,178,N,Tig Notaro, Tig Notaro makes it weird! ,2:15:07,9/25/13,http://youmadeitweird.libsyn.com/tig-notaro,Y
177,2013,177,N,Dean Delray, Dean Delray (comedy! Let There Be Talk podcast!) makes it weird! ,1:56:33,9/18/13,http://youmadeitweird.libsyn.com/dean-delray,Y
176,2013,176,N,Eric Andre, Eric Andre makes it weird! ,1:33:28,9/11/13,http://youmadeitweird.libsyn.com/eric-andre,Y
175,2013,175,N,Nick Swardson, Nick Swardson makes it weird! ,2:19:24,9/4/13,http://youmadeitweird.libsyn.com/nick-swardson,Y
174,2013,174,N,Chris Gethard, Chris Gethard (The Chris Gethard Show! Comedy!) makes it weird! ,2:21:37,8/28/13,http://youmadeitweird.libsyn.com/chris-gethard,Y
173,2013,173,N,Whitney Cummings, Whitney Cummings makes it weird! ,2:56:29,8/21/13,http://youmadeitweird.libsyn.com/whitney-cummings,Y
172,2013,172,N,Luka Jones, Luka Jones (BFFs! Comedy!) makes it weird! ,2:12:52,8/14/13,http://youmadeitweird.libsyn.com/luka-jones,Y
171,2013,171,N,Kirk Fox, Kirk Fox makes it weird! ,1:50:02,8/7/13,http://youmadeitweird.libsyn.com/kirk-fox,Y
170,2013,170,N,Live from Montreal!," Johnny Pemberton, Bert Kreischer, Arj Barker, Nick Turner, and Deon Cole make it weird in Montreal! ",1:38:16,7/31/13,http://youmadeitweird.libsyn.com/live-from-montreal-2,Y
169,2013,169,N,Live from Montreal!," Johnny Pemberton, Bert Kreisler, Arj Barker, Nick Turner, and Deon Cole make it weird in Montreal! ",,7/31/13,http://youmadeitweird.libsyn.com/live-from-montreal-1,Y
168,2013,168,N,Brent Sullivan, Brent James Sullivan makes it weird! ,2:14:48,7/24/13,http://youmadeitweird.libsyn.com/brent-sullivan,Y
167,2013,167,N,Live from The Troubadour Again!," Live from the Trouabour July 8th 2013 with John Mulaney, Jason Mantzoukas, Sarah Silverman, Kurt Braunohler, Chris Thayer, Rob Huebel and Anthony Jeselnik! ",2:06:33,7/17/13,http://youmadeitweird.libsyn.com/live-from-the-troubadour-again,Y
166,2013,166,N,Johnny Pemberton, Johnny Pemberton (hilarious! so many movies!! comedy!) makes it weird! ,2:21:44,7/10/13,http://youmadeitweird.libsyn.com/johnny-pemberton,Y
165,2013,165,N,Dan Levy, Dan Levy makes it weird! ,2:01:43,7/3/13,http://youmadeitweird.libsyn.com/dan-levy,Y
164,2013,164,N,Trevor Moore, Trevor Moore (Whitest Kids U Know!) makes it weird! ,2:13:41,6/28/13,http://youmadeitweird.libsyn.com/trevor-moore,Y
163,2013,163,N,John Hodgman, John Hodgman makes it weird! ,2:13:29,6/26/13,http://youmadeitweird.libsyn.com/john-hodgman,Y
162,2013,162,N,Sara Watkins, Sara Watkins (Nickel Creek! Amazing CD Sun Midnight Sun available NOW! Our first musician guest!) makes it weird. ,2:13:04,6/21/13,http://youmadeitweird.libsyn.com/sara-watkins,Y
161,2013,161,N,Live from JFL Chicago 2013," Kumail Nanjiani, Emily Gordon, Jermaine Fowler, Renee Gauthier, Michelle Buteau andÂ  Sean Flannery! ",1:09:43,6/19/13,http://youmadeitweird.libsyn.com/live-from-jfl-chicago-2013,Y
160,2013,160,N,John Gemberling, John Gemberling (UCB! Fat Guy Stuck In Internet! Comedy!) makes it weird. ,2:12:58,6/14/13,http://youmadeitweird.libsyn.com/john-gemberling,Y
159,2013,159,N,"Live from Bloomington, Indiana!"," Tig Notaro, Maria Bamford, John Roy, Al Jackson and Stewart Huff make it weird LIVE. Please enjoy!! ",1:36:35,6/12/13,http://youmadeitweird.libsyn.com/live-from-bloomington-indiana,Y
158,2013,158,N,Max Silvestri, Max Silvestri makes it weird! ,1:57:20,6/7/13,http://youmadeitweird.libsyn.com/max-silvestri,Y
157,2013,157,N,David Angelo, David Angelo (writer for Fallon! Comedy!) makes it weird! ,2:14:25,6/5/13,http://youmadeitweird.libsyn.com/david-angelo,Y
156,2013,156,N,Bo Burnham returns!, Bo Burnham (Zach Stone is Gonna Be Famous!) returns to make it weird AGAIN!! ,1:55:58,5/31/13,http://youmadeitweird.libsyn.com/bo-burnham-returns,Y
155,2013,155,N,Heidi Niedermeyer, Heidi Niedermeyer (Kid Farm! Countless hilarious web videos! Comedy!) makes it weird! ,2:28:41,5/29/13,http://youmadeitweird.libsyn.com/heidi-niedermeyer,Y
154,2013,154,N,Owen Benjamin, Owen Benjamin makes it weird! ,1:33:31,5/24/13,http://youmadeitweird.libsyn.com/owen-benjamin,Y
153,2013,153,N,Curtis Gwinn, Curtis Gwinn (writer NTSF:SD:SUV! UCB!) makes it weird! ,2:13:47,5/22/13,http://youmadeitweird.libsyn.com/curtis-gwinn,Y
152,2013,152,N,Rob Bell," Our first non-comedian guest ever, pastor and author of Love Wins and What We Talk About When We Talk About God ROB BELL makes it wonderful and weird. Between comedy sex and God, I'll let you guess which topic gets the most airtime. Enjoy, weirdos!! ",2:22:34,5/17/13,http://youmadeitweird.libsyn.com/rob-bell,Y
151,2013,151,N,Jay Mohr, Jay Mohr makes it weird! ,1:31:48,5/15/13,http://youmadeitweird.libsyn.com/jay-mohr,Y
150,2013,150,N,Rich Sommer, Rich Sommer (Mad Men!) makes it weird! ,1:53:11,5/10/13,http://youmadeitweird.libsyn.com/rich-sommer,Y
149,2013,149,N,Jim Gaffigan returns!, Jim Gaffigan makes it weird! Again! ,1:21:12,5/8/13,http://youmadeitweird.libsyn.com/jim-gaffigan-returns,Y
148,2013,148,N,Live from Moontower!," It's YMIW live from the Moontower Comedy Festival in Austin, Texas! With Moshe Kasher, David Angelo, Morgan Murphy, Dom Irrera, and Greg Fitzsimmons! ",1:39:38,5/3/13,http://youmadeitweird.libsyn.com/live-from-moontower,Y
147,2013,147,N,Vikram Gandhi, Vikram Gandhi (star and director of the incredible documentary Kumare!) makes it weird. Kumare is out now!Â  ,2:48:56,5/1/13,http://youmadeitweird.libsyn.com/vikram-gandhi,Y
146,2013,146,N,Matt Goldich, Matt Goldich makes it weird! ,2:15:59,4/26/13,http://youmadeitweird.libsyn.com/matt-goldich,Y
145,2013,145,N,Jeff Garlin, Jeff Garlin makes it weird! ,2:29:52,4/24/13,http://youmadeitweird.libsyn.com/jeff-garlin,Y
144,2013,144,N,Live at the Troubadour!," YMIW LIVE FROM THE TROUBADOUR! Andy Richter! Nate Bargatze! Garfunkel and Oates! Chris Thayer! Zach Cregger! They're all here, they all made it weird. It was incredible. Enjoy, everyone. Live the dream. ",1:53:29,4/19/13,http://youmadeitweird.libsyn.com/live-at-the-troubadour,Y
143,2013,143,N,Eddie Pepitone, Eddie Pepitone (Bitter Buddah! Comedy!) makes it weird. ,2:24:47,4/17/13,http://youmadeitweird.libsyn.com/eddie-pepitone,Y
142,2013,142,N,David O'Doherty," David O'Doherty (DOD! Comedy! CD ""Let's David O'Doherty! Children's book ""100 Hundred Facts About Pandas! One of Pete's favorite people!) makes it weird! ",3:40:52,4/12/13,http://youmadeitweird.libsyn.com/david-o-doherty,Y
141,2013,141,N,Robert Buscemi," Robert Buscemi (comedy! CD Pretty Peacock! www.robertbuscemi.com!), one of Pete's oldest friends from the Chicago (and now LA) scene makes it weird. ",2:12:56,4/10/13,http://youmadeitweird.libsyn.com/robert-buscemi,Y
140,2013,140,N,Lennon Parham, Lennon Parham (Accidentally On Purpose! Best Friends Forever!) makes it weird! ,2:22:17,4/5/13,http://youmadeitweird.libsyn.com/lennon-parham,Y
139,2013,139,N,Bert Kreischer, Bert Kreischer makes it weird!! ,2:47:13,4/3/13,http://youmadeitweird.libsyn.com/bert-kreischer,Y
138,2013,138,N,Mike Bridenstine, Mike Bridenstine makes it weird! ,2:11:23,3/29/13,http://youmadeitweird.libsyn.com/mike-bridenstine,Y
137,2013,137,N,Jon Hamm, Jon Hamm (Mad Men!) makes it weird ,2:17:07,3/27/13,http://youmadeitweird.libsyn.com/jon-hamm,Y
136,2013,136,N,Megan Ganz, Megan Ganz (writer on Community and Modern Family!) makes it weird! ,3:24:43,3/22/13,http://youmadeitweird.libsyn.com/megan-ganz,Y
135,2013,135,N,Dane Cook, Dane Cook makes is weird! ,2:28:49,3/20/13,http://youmadeitweird.libsyn.com/dane-cook,Y
134,2013,134,N,Beth Stelling, Beth Stelling (Conan! Comedy!) makes it weird! ,1:59:58,3/15/13,http://youmadeitweird.libsyn.com/beth-stelling,Y
133,2013,133,N,Brody Stevens, Brody Stevens makes it weird! ,2:04:31,3/13/13,http://youmadeitweird.libsyn.com/brody-stevens,Y
132,2013,132,N,Jen Kirkman," Jen Kirkman (Chelsea Lately!, Drunk History!) makes it weird! ",2:02:11,3/8/13,http://youmadeitweird.libsyn.com/jen-kirkman,Y
131,2013,131,N,Matt Mira, Matt Mira (Nerdist podcast!) makes it weird! ,3:03:18,3/6/13,http://youmadeitweird.libsyn.com/matt-mira,Y
130,2013,130,N,Live from Vancouver!," Andy Kindler, Mark Normand, Carmen Lynch, Joe List and Phil Hanley make it weird in Vancouver, Canada! ",1:32:10,3/1/13,http://youmadeitweird.libsyn.com/live-from-vancouver,Y
129,2013,129,N,Gabe Liedman, Gabe Liedman (Gabe and Jenny! Comedy! Big Terrific!) makes it weird! ,2:18:35,2/27/13,http://youmadeitweird.libsyn.com/gabe-liedman,Y
128,2013,128,N,Glennis McCarthy, Glennis McCarthy (UCB! I Eat Pandas! Comedy!) makes it weird. ,2:20:36,2/22/13,http://youmadeitweird.libsyn.com/glennis-mc-carthy,Y
127,2013,127,N,Harland Williams, Harland Williams makes it weird! ,2:06:36,2/20/13,http://youmadeitweird.libsyn.com/harland-williams,Y
126,2013,126,N,Jordan Vogt-Roberts, Jordan Vogt-Roberts makes it weird! ,2:34:52,2/15/13,http://youmadeitweird.libsyn.com/jordan-vogt-roberts,Y
125,2013,125,N,Iliza Shlesinger, Iliza Shlesinger makes it weird! ,2:15:43,2/13/13,http://youmadeitweird.libsyn.com/iliza-shlesinger,Y
124,2013,124,N,SF Sketchfest 2013," Sara Benincasa, Rick Overton, Kumail and Emily, Chris Thayer and Glen Wool make it weird LIVE in one of Pete's favorite live episodes to date, SAN FRAN SKETCHFEST 2013!!! Enjoy, weirdos!! ",1:24:44,2/8/13,http://youmadeitweird.libsyn.com/sf-sketchfest-2013,Y
123,2013,123,N,Matt McCarthy, Matt McCarthy (front page films! comedy!) makes it weird! ,3:01:07,2/6/13,http://youmadeitweird.libsyn.com/matt-mc-carthy,Y
122,2013,122,N,Julian McCullough," Julian McCullough (Comedy Central! Love You, Mean It!) makes it weird! ",2:17:40,2/1/13,http://youmadeitweird.libsyn.com/julian-mc-cullough,Y
121,2013,121,N,Dwight Slade," Dwight Slade (Comedy! AMERICAN: The Bill Hicks Story) is an amazing man and a lifelong friend and comedy partner of the legendary Bill Hicks. But beyond that, Dwight is a hilarious and incredible person and one of Pete's oldest friend in comedy. Please enjoy, you weird weirdos! ",2:09:10,1/30/13,http://youmadeitweird.libsyn.com/dwight-slade,Y
120,2013,120,N,Adam Pally, Adam Pally (Happy Endings! UCB!) makes it weird! ,2:20:59,1/25/13,http://youmadeitweird.libsyn.com/adam-pally,Y
119,2013,119,N,Joel McHale, Joel McHale makes it weird! ,2:07:59,1/23/13,http://youmadeitweird.libsyn.com/joel-mc-hale,Y
118,2013,118,N,John F. O'Donnell," John F. O'Donnell (comedy! New EP onÂ livefromouterspace.com!) makes it very, very weird. In the best way. ENJOY! ",1:56:15,1/18/13,http://youmadeitweird.libsyn.com/john-f-o-donnell,Y
117,2013,117,N,Todd Glass, Todd Glass comes on the show and makes it weird! ,2:32:22,1/16/13,http://youmadeitweird.libsyn.com/todd-glass,Y
116,2013,116,N,Bobcat Goldthwait, Bobcat Goldthwait makes it weird! ,2:21:35,1/11/13,http://youmadeitweird.libsyn.com/bobcat-goldthwait,Y
115,2013,115,N,Alison Becker," Alison Becker (Collegehumor BADMAD videos! VH1! Parks and Rec!) is a hilarious delight of a gal to gab with. She and Pete have been friends for years and this podcast is evidence of how much fun they have when they're together. Thoughtful, funny, talented, lovely! ALISON BECKER, EVERYONE! Enjoy you weirdos! ",2:42:16,1/9/13,http://youmadeitweird.libsyn.com/alison-becker,Y
114,2013,114,N,Aziz Ansari, Aziz Ansari makes it weird! ,2:25:08,1/4/13,http://youmadeitweird.libsyn.com/aziz-ansari,Y
113,2013,113,N,Joe Hartzler," Happy New Year, weirdos! We are back with the hilarious and thoughtful Joe Hartzler (comedy! improv! THANKSKILLING 3!), fresh off a week of shooting a series of commercials with Pete, Pete wanted to record an ep with one of the funniest guys he's worked with ever and this is the result. GET INTO IT and a crispy 2013 to you all! ",2:03:17,1/2/13,http://youmadeitweird.libsyn.com/joe-hartzler,Y
112,2012,112,N,Matt Braunger," Matt Braunger (Chicago! Comedy! Letterman! CD Shovel Fighter!) is a sweetheart, a noble drunk and a hilarious storm of a man. This one is weird, wonderful, so many bits riffed, so many sweetnesses shared. Just listen to two friends goofin, just in time for the holidays. MERRY CRISPMAS WEIRDOS!!! ",2:16:15,12/21/12,http://youmadeitweird.libsyn.com/matt-braunger,Y
111,2012,111,N,Mike Birbiglia," Mike Birbiglia finally makes it weird. I mean, what else do you need? ",2:30:21,12/19/12,http://youmadeitweird.libsyn.com/mike-birbiglia,Y
110,2012,110,N,Ian Karmel," Ian Karmel (comedy! portland! @iankarmel!) is a ball of light, love and laughter and is a joy to behold. Pete was so glad to work with Ian, who opens regularly for Kyle Kinane (chic-ago!) and is a staple of the blossoming Portland comedy scene. Pete and Ian got to combine their joy forces at Pete's hotel in Portland and this is the wonderful result. Please enjoy, weirdos! ",1:52:38,12/14/12,http://youmadeitweird.libsyn.com/ian-karmel,Y
109,2012,109,N,Jon Dore," Jon Dore (comedy! Canada! scare tactics! U.S.A.!) is a gentleman and a delight. A long anticipated weirdo chat that doesn't disappoint. In fact, it's kinda the best. Enjoy you weirdos! ",1:45:46,12/12/12,http://youmadeitweird.libsyn.com/jon-dore,Y
